Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
8.11E-08,-0.0023655,-9.86E-06
8.11E-08,-0.0024371,-1.02E-05
8.11E-08,-0.002424,-8.39E-06
8.11E-08,-0.0024141,-7.53E-06
8.11E-08,-0.0026195,-8.32E-06
8.11E-08,-0.0029808,-1.03E-05
8.11E-08,-0.003064,-1.05E-05
8.11E-08,-0.0026847,-8.19E-06
8.11E-08,-0.0022553,-9.10E-06
8.11E-08,-0.0022308,-9.07E-06
8.11E-08,-0.0021472,-6.94E-06
8.11E-08,-0.0020476,-5.44E-06
8.11E-08,-0.0027196,-4.64E-06
8.11E-08,-0.0039019,-3.15E-06
8.12E-08,-0.0051508,-2.68E-06
8.12E-08,-0.0061336,-2.75E-06
8.11E-08,-0.0067564,-3.21E-06
8.11E-08,-0.0074378,-4.96E-06
8.12E-08,-0.0073374,-4.98E-06
8.12E-08,-0.0064032,-2.90E-06
8.11E-08,-0.0049426,-3.27E-06
8.13E-08,-0.0033423,-4.51E-06
8.13E-08,-0.0019608,-6.20E-06
8.14E-08,-8.48E-04,-7.32E-06
8.15E-08,1.73E-04,-5.65E-06
8.14E-08,8.27E-04,-4.16E-06
8.14E-08,9.17E-04,-4.06E-06
8.15E-08,1.47E-04,-4.99E-06
8.14E-08,-0.0014936,-5.48E-06
8.14E-08,-0.0031451,-6.96E-06
8.15E-08,-0.0045115,-6.53E-06
8.15E-08,-0.0057573,-6.49E-06
8.15E-08,-0.0070645,-6.50E-06
8.16E-08,-0.0077761,-7.72E-06
8.15E-08,-0.0071558,-8.67E-06
8.17E-08,-0.0056572,-9.42E-06
8.17E-08,-0.0045512,-9.08E-06
8.18E-08,-0.0034197,-8.84E-06
8.17E-08,-0.0022794,-1.08E-05
8.17E-08,-0.0013336,-1.11E-05
8.16E-08,-5.43E-04,-9.83E-06
8.16E-08,6.00E-05,-1.15E-05
8.16E-08,5.64E-04,-1.19E-05
8.17E-08,0.0015205,-1.20E-05
8.15E-08,0.002565,-1.12E-05
8.16E-08,0.0034408,-9.58E-06
8.15E-08,0.0042436,-7.94E-06
8.15E-08,0.0045059,-7.66E-06
8.15E-08,0.0039545,-6.77E-06
8.16E-08,0.0031076,-5.45E-06
8.16E-08,0.0024501,-5.31E-06
8.16E-08,0.0020111,-6.94E-06
8.16E-08,0.0015549,-4.74E-06
8.17E-08,0.0010922,-5.34E-06
8.16E-08,3.01E-04,-4.15E-06
8.14E-08,-0.0011626,-3.75E-06
8.15E-08,-0.0031212,-3.64E-06
8.15E-08,-0.0049593,-5.23E-06
8.16E-08,-0.0061701,-5.35E-06
8.17E-08,-0.0069577,-3.01E-06
8.17E-08,-0.0073096,-4.64E-06
8.17E-08,-0.007001,-4.26E-06
8.18E-08,-0.006703,-3.36E-06
8.18E-08,-0.0065401,-2.37E-06
8.18E-08,-0.0063757,-2.12E-06
8.18E-08,-0.0062797,-2.14E-06
8.17E-08,-0.0053815,-2.99E-06
8.17E-08,-0.0035578,-1.26E-06
8.15E-08,-0.0014228,-8.45E-07
8.14E-08,2.71E-04,8.81E-07
8.15E-08,0.0011061,1.24E-06
8.13E-08,0.0022067,2.78E-06
8.13E-08,0.0039502,9.56E-07
8.16E-08,0.0056366,2.45E-07
8.17E-08,0.0066534,9.59E-07
8.17E-08,0.0072929,2.12E-06
8.17E-08,0.0075162,1.35E-06
8.17E-08,0.0072406,8.29E-07
8.18E-08,0.0069488,-1.04E-07
8.16E-08,0.006227,-6.08E-07
8.14E-08,0.0048274,-2.90E-07
8.14E-08,0.0038243,-3.21E-07
8.13E-08,0.0029872,-4.35E-08
8.13E-08,0.0021803,1.77E-06
8.13E-08,0.0019044,1.38E-06
8.12E-08,0.00126,1.12E-06
8.13E-08,3.25E-04,1.62E-06
8.12E-08,-5.53E-04,2.01E-06
8.12E-08,-0.0023434,3.32E-06
8.11E-08,-0.003978,1.52E-06
8.11E-08,-0.0046401,2.89E-06
8.12E-08,-0.0043966,3.65E-06
8.15E-08,-0.002653,4.22E-06
8.17E-08,-3.23E-04,3.21E-06
8.19E-08,0.001179,3.49E-06
8.18E-08,0.0019666,5.64E-06
8.19E-08,0.0023737,5.97E-06
8.19E-08,0.0022831,3.81E-06
8.19E-08,0.0013818,4.19E-06
8.20E-08,5.72E-04,3.29E-06
8.20E-08,-2.62E-04,3.19E-06
8.19E-08,-7.07E-04,5.00E-06
8.19E-08,-6.11E-04,4.75E-06
8.20E-08,-1.70E-04,4.12E-06
8.22E-08,9.80E-04,3.67E-06
8.22E-08,0.0021218,2.86E-06
8.22E-08,0.0028363,3.32E-06
8.21E-08,0.0029294,4.02E-06
8.21E-08,0.0028232,2.25E-06
8.21E-08,0.0027404,5.03E-07
8.21E-08,0.0028222,1.15E-06
8.22E-08,0.0027923,-2.64E-07
8.22E-08,0.0024992,-1.95E-06
8.22E-08,0.0019262,-1.48E-06
8.22E-08,8.64E-04,-3.98E-06
8.21E-08,-4.25E-04,-3.46E-06
8.18E-08,-0.0017293,-3.55E-06
8.18E-08,-0.0028381,-2.03E-06
8.17E-08,-0.0039258,1.25E-08
8.18E-08,-0.0049616,1.86E-06
8.18E-08,-0.005546,-1.03E-06
8.18E-08,-0.0061103,-1.69E-06
8.18E-08,-0.0065083,-1.40E-06
8.18E-08,-0.0061482,-1.14E-06
8.20E-08,-0.0047811,-1.76E-07
8.21E-08,-0.002536,-1.74E-06
8.18E-08,-4.33E-04,-1.69E-06
8.17E-08,0.0013909,-8.56E-07
8.17E-08,0.0033335,1.52E-07
8.17E-08,0.004663,2.87E-07
8.16E-08,0.005632,5.03E-07
8.16E-08,0.0061635,1.10E-06
8.16E-08,0.0059066,2.84E-07
8.17E-08,0.0049685,-8.30E-07
8.17E-08,0.0039711,6.44E-07
8.15E-08,0.0027335,1.90E-06
8.16E-08,8.78E-04,1.47E-07
8.15E-08,-0.0017079,9.80E-07
8.13E-08,-0.0045006,-5.78E-07
8.11E-08,-0.0071937,-2.39E-06
8.14E-08,-0.0088232,-2.33E-06
8.13E-08,-0.0094781,-2.17E-06
8.13E-08,-0.0093746,-7.33E-07
8.14E-08,-0.0086435,9.00E-08
8.14E-08,-0.0075444,-6.43E-07
8.14E-08,-0.0061524,9.43E-07
8.13E-08,-0.0042593,7.35E-07
8.13E-08,-0.0024186,3.13E-07
8.12E-08,-7.72E-05,1.98E-06
8.11E-08,0.0032528,1.71E-07
8.13E-08,0.0062016,-4.22E-07
8.14E-08,0.0083049,9.80E-07
8.14E-08,0.0094273,-5.22E-07
8.13E-08,0.0099337,-1.92E-06
8.13E-08,0.010468,-3.58E-06
8.12E-08,0.010101,-2.25E-06
8.13E-08,0.0094924,-1.84E-06
8.13E-08,0.0091742,-1.30E-06
8.12E-08,0.0080984,-1.91E-06
8.11E-08,0.0060519,-1.94E-06
8.14E-08,0.003448,-1.82E-06
8.16E-08,6.83E-04,-2.85E-06
8.15E-08,-0.0015138,-2.10E-06
8.16E-08,-0.0032317,-1.27E-06
8.18E-08,-0.0047194,-3.03E-07
